table_year,scenario,throttle_scenario,recipient_sector,recipient_sector_name_ru,supplier_sector,supplier_sector_name_ru,direct_recipient_va_impulse_bn_rub,indirect_output_effect_bn_rub,indirect_va_effect_bn_rub,indirect_employment_effect_thousand
2016,Base,BaseThrottle,B,Добыча полезных ископаемых,B,Добыча полезных ископаемых,108.62047608871217,25.384674439389958,15.85677195087971,0.8685194401417538
2016,Base,BaseThrottle,B,Добыча полезных ископаемых,C,Обрабатывающая промышленность,108.62047608871217,18.089857919088047,4.649449275889111,1.2689447388341546
2016,Base,BaseThrottle,B,Добыча полезных ископаемых,C_mach,Машиностроение (ОКВЭД 26–30),108.62047608871217,12.20832069185591,3.508099888300118,0.8171220417068663
2016,Base,BaseThrottle,B,Добыча полезных ископаемых,DE,Энергетика и ЖКХ,108.62047608871217,11.924079444894174,3.7384773640953934,1.4803752260648333
2016,Base,BaseThrottle,B,Добыча полезных ископаемых,F,Строительство,108.62047608871217,3.66660741569761,1.6727831355792107,0.9024923498303852
2016,Base,BaseThrottle,B,Добыча полезных ископаемых,G,Оптовая и розничная торговля,108.62047608871217,7.748071697994878,4.5218519753947275,2.318528801165599
2016,Base,BaseThrottle,B,Добыча полезных ископаемых,H,Транспорт и логистика,108.62047608871217,20.467806059978376,9.513301262133934,4.149446277994269
2016,Base,BaseThrottle,B,Добыча полезных ископаемых,J,ИТ и связь,108.62047608871217,0.486985680503825,0.25134657313051867,0.05601030446931659
2016,Base,BaseThrottle,B,Добыча полезных ископаемых,K,Финансы и страхование,108.62047608871217,4.126401393632762,2.915026186237357,0.1460337261660522
2016,Base,BaseThrottle,B,Добыча полезных ископаемых,M,Профессиональные и научные услуги,108.62047608871217,6.627166371209437,3.9698701981107143,0.8575854111385348
2016,Base,BaseThrottle,C,Обрабатывающая промышленность,B,Добыча полезных ископаемых,730.9583314095362,594.2260328560357,371.18879396195837,20.331041180222527
2016,Base,BaseThrottle,C,Обрабатывающая промышленность,C,Обрабатывающая промышленность,730.9583314095362,1257.8333093757615,323.28789953045475,88.23291854484562
2016,Base,BaseThrottle,C,Обрабатывающая промышленность,C_mach,Машиностроение (ОКВЭД 26–30),730.9583314095362,208.44826991961816,59.89827519104919,13.951769469867122
