country_iso3,sector_id,sector_name_ru,is_proxy_mn,staffing_proxy_exact,base_year,staffing_source,occupation_digit,occupation_employment,sector_total_employment,classified_employment,share_of_total,share_within_classified,occupation_rti,rti_contribution,total_source
AUT,F,Строительство,False,True,1995,BA:103,2,4.283,321.719,321.382,0.013312859980293364,0.013326819797001701,-0.5822167,-0.007759097043705001,reported_total
AUT,F,Строительство,False,True,1995,BA:103,3,25.728,321.719,321.382,0.07997040895937138,0.0800542656402661,-0.1913176,-0.015315789972058175,reported_total
AUT,F,Строительство,False,True,1995,BA:103,4,28.233,321.719,321.382,0.08775670693990718,0.08784872830463436,0.3223384,0.028317018523750556,reported_total
AUT,F,Строительство,False,True,1995,BA:103,7,180.018,321.719,321.382,0.5595504151138105,0.5601371576503974,0.5007637,0.2804963555724963,reported_total
AUT,F,Строительство,False,True,1995,BA:103,8,39.976,321.719,321.382,0.12425750421952077,0.12438780018793835,0.9090614,0.1130761477817675,reported_total
AUT,F,Строительство,False,True,1995,BA:103,9,28.178,321.719,321.382,0.08758575029761997,0.08767759239783186,1.093792,0.09590104914400932,reported_total
AUT,G,Оптовая и розничная торговля,False,True,1995,BA:103,1,82.049,572.606,572.606,0.14329049992490475,0.14329049992490475,-0.7950442,-0.11392228088039595,reported_total
AUT,G,Оптовая и розничная торговля,False,True,1995,BA:103,2,9.088,572.606,572.606,0.015871297192135602,0.015871297192135602,-0.5822167,-0.009240534275924457,reported_total
AUT,G,Оптовая и розничная торговля,False,True,1995,BA:103,3,48.6,572.606,572.606,0.08487511482590124,0.08487511482590124,-0.1913176,-0.016238103268215842,reported_total
AUT,G,Оптовая и розничная торговля,False,True,1995,BA:103,4,89.875,572.606,572.606,0.15695783837403032,0.15695783837403032,0.3223384,0.05059353848894354,reported_total
AUT,G,Оптовая и розничная торговля,False,True,1995,BA:103,5,190.274,572.606,572.606,0.33229480655110144,0.33229480655110144,0.4488506,0.1491507232973458,reported_total
AUT,G,Оптовая и розничная торговля,False,True,1995,BA:103,7,83.787,572.606,572.606,0.1463257458007775,0.1463257458007775,0.5007637,0.07327462187245681,reported_total
AUT,G,Оптовая и розничная торговля,False,True,1995,BA:103,8,23.11,572.606,572.606,0.040359339580793775,0.040359339580793775,0.9090614,0.0366891177423918,reported_total
AUT,G,Оптовая и розничная торговля,False,True,1995,BA:103,9,45.823,572.606,572.606,0.0800253577503554,0.0800253577503554,1.093792,0.08753109610447674,reported_total
AUT,H,Транспорт и логистика,False,False,1995,BA:103,1,10.342,241.80700000000002,241.80700000000002,0.04276964686712957,0.04276964686712957,-0.7950442,-0.03400375967775954,sum_digits
AUT,H,Транспорт и логистика,False,False,1995,BA:103,2,2.99,241.80700000000002,241.80700000000002,0.012365233429966874,0.012365233429966874,-0.5822167,-0.007199245402324995,sum_digits
AUT,H,Транспорт и логистика,False,False,1995,BA:103,3,21.606,241.80700000000002,241.80700000000002,0.0893522520026302,0.0893522520026302,-0.1913176,-0.017094658407738404,sum_digits
AUT,H,Транспорт и логистика,False,False,1995,BA:103,4,80.983,241.80700000000002,241.80700000000002,0.33490759159164124,0.33490759159164124,0.3223384,0.1079535772215031,sum_digits
AUT,H,Транспорт и логистика,False,False,1995,BA:103,5,9.081,241.80700000000002,241.80700000000002,0.03755474407275223,0.03755474407275223,0.4488506,0.016856469409901282,sum_digits
AUT,H,Транспорт и логистика,False,False,1995,BA:103,7,22.449,241.80700000000002,241.80700000000002,0.09283850343455731,0.09283850343455731,0.5007637,0.04649015248235163,sum_digits
AUT,H,Транспорт и логистика,False,False,1995,BA:103,8,77.084,241.80700000000002,241.80700000000002,0.31878316177778143,0.31878316177778143,0.9090614,0.28979346734213646,sum_digits
AUT,H,Транспорт и логистика,False,False,1995,BA:103,9,17.272,241.80700000000002,241.80700000000002,0.07142886682354108,0.07142886682354108,1.093792,0.07812832310065465,sum_digits
AUT,J,ИТ и связь,False,False,1995,BA:103,1,8.746,198.427,198.151,0.04407666295413427,0.04413805633077804,-0.7950442,-0.03509170568505836,reported_total
AUT,J,ИТ и связь,False,False,1995,BA:103,2,33.33,198.427,198.151,0.16797109264364224,0.16820505574031924,-0.5822167,-0.09793179247644473,reported_total
AUT,J,ИТ и связь,False,False,1995,BA:103,3,38.123,198.427,198.151,0.19212607155276248,0.19239367956760248,-0.1913176,-0.03680829703004274,reported_total
AUT,J,ИТ и связь,False,False,1995,BA:103,4,51.157,198.427,198.151,0.25781269686081026,0.2581717982750528,0.3223384,0.08321868438110329,reported_total
AUT,J,ИТ и связь,False,False,1995,BA:103,5,0.924,198.427,198.151,0.004656624350516815,0.004663110456167266,0.4488506,0.002093039926116951,reported_total
AUT,J,ИТ и связь,False,False,1995,BA:103,7,14.742,198.427,198.151,0.07429432486506374,0.07439780773248685,0.5007637,0.03725572147200872,reported_total
AUT,J,ИТ и связь,False,False,1995,BA:103,8,3.604,198.427,198.151,0.018162850821712772,0.018188149441587476,0.9090614,0.01653414459477873,reported_total
AUT,J,ИТ и связь,False,False,1995,BA:103,9,47.525,198.427,198.151,0.23950873621029398,0.23984234245600577,1.093792,0.2623376354396395,reported_total
AUT,K,Финансы и страхование,False,True,1995,BA:103,1,15.609,137.292,136.675,0.1136919849663491,0.11420523138832997,-0.7950442,-0.09079820682494968,reported_total
AUT,K,Финансы и страхование,False,True,1995,BA:103,2,2.965,137.292,136.675,0.02159630568423506,0.02169379915858789,-0.5822167,-0.012630492156575818,reported_total
AUT,K,Финансы и страхование,False,True,1995,BA:103,3,15.22,137.292,136.675,0.11085860793054221,0.11135906347173953,-0.1913176,-0.021304948761660874,reported_total
AUT,K,Финансы и страхование,False,True,1995,BA:103,4,93.406,137.292,136.675,0.6803455408909478,0.6834168648253155,0.3223384,0.2202914987408085,reported_total
AUT,K,Финансы и страхование,False,True,1995,BA:103,7,3.011,137.292,136.675,0.021931357981528423,0.02203036400219499,0.5007637,0.011032006590085972,reported_total
AUT,K,Финансы и страхование,False,True,1995,BA:103,9,6.464,137.292,136.675,0.04708213151531043,0.04729467715383208,1.093792,0.0517305395134443,reported_total
AUT,M,Профессиональные и научные услуги,True,False,1995,BA:103,1,8.746,198.427,198.151,0.04407666295413427,0.04413805633077804,-0.7950442,-0.03509170568505836,reported_total
AUT,M,Профессиональные и научные услуги,True,False,1995,BA:103,2,33.33,198.427,198.151,0.16797109264364224,0.16820505574031924,-0.5822167,-0.09793179247644473,reported_total
AUT,M,Профессиональные и научные услуги,True,False,1995,BA:103,3,38.123,198.427,198.151,0.19212607155276248,0.19239367956760248,-0.1913176,-0.03680829703004274,reported_total
AUT,M,Профессиональные и научные услуги,True,False,1995,BA:103,4,51.157,198.427,198.151,0.25781269686081026,0.2581717982750528,0.3223384,0.08321868438110329,reported_total
AUT,M,Профессиональные и научные услуги,True,False,1995,BA:103,5,0.924,198.427,198.151,0.004656624350516815,0.004663110456167266,0.4488506,0.002093039926116951,reported_total
AUT,M,Профессиональные и научные услуги,True,False,1995,BA:103,7,14.742,198.427,198.151,0.07429432486506374,0.07439780773248685,0.5007637,0.03725572147200872,reported_total
AUT,M,Профессиональные и научные услуги,True,False,1995,BA:103,8,3.604,198.427,198.151,0.018162850821712772,0.018188149441587476,0.9090614,0.01653414459477873,reported_total
AUT,M,Профессиональные и научные услуги,True,False,1995,BA:103,9,47.525,198.427,198.151,0.23950873621029398,0.23984234245600577,1.093792,0.2623376354396395,reported_total
BEL,B,Добыча полезных ископаемых,False,True,1995,BA:2257,1,0.99,12.428,12.28,0.0796588348889604,0.08061889250814332,-0.8273576,-0.06670065342019543,reported_total
BEL,B,Добыча полезных ископаемых,False,True,1995,BA:2257,2,0.797,12.428,12.28,0.06412938525909237,0.06490228013029316,-0.6519638,-0.04231393718241042,reported_total
BEL,B,Добыча полезных ископаемых,False,True,1995,BA:2257,3,1.287,12.428,12.28,0.10355648535564853,0.10480456026058631,-0.2605339,-0.027305140822475565,reported_total
BEL,B,Добыча полезных ископаемых,False,True,1995,BA:2257,4,1.708,12.428,12.28,0.1374316060508529,0.13908794788273612,0.2380641,0.03311184713355048,reported_total
BEL,B,Добыча полезных ископаемых,False,True,1995,BA:2257,7,3.786,12.428,12.28,0.30463469584808495,0.30830618892508144,0.5318994,0.16398787690553746,reported_total
BEL,B,Добыча полезных ископаемых,False,True,1995,BA:2257,8,3.032,12.428,12.28,0.24396523978113935,0.24690553745928337,0.9511319,0.23483973296416938,reported_total
BEL,B,Добыча полезных ископаемых,False,True,1995,BA:2257,9,0.68,12.428,12.28,0.05471515931766978,0.055374592833876225,1.17057,0.0648198371335505,reported_total
BEL,C,Обрабатывающая промышленность без машиностроения,False,True,1995,BA:2257,1,47.219,763.315,763.237,0.06186043769610187,0.06186675960415965,-0.8273576,-0.05118593374587448,reported_total
BEL,C,Обрабатывающая промышленность без машиностроения,False,True,1995,BA:2257,2,57.3,763.315,763.237,0.07506730510994805,0.0750749767110347,-0.6519638,-0.04894616710143768,reported_total
BEL,C,Обрабатывающая промышленность без машиностроения,False,True,1995,BA:2257,3,91.421,763.315,763.237,0.1197683787165194,0.1197806186020856,-0.2605339,-0.031206911708813907,reported_total
BEL,C,Обрабатывающая промышленность без машиностроения,False,True,1995,BA:2257,4,87.304,763.315,763.237,0.11437479939474528,0.11438648807644283,0.2380641,0.027231316336079094,reported_total
BEL,C,Обрабатывающая промышленность без машиностроения,False,True,1995,BA:2257,5,11.801,763.315,763.237,0.015460196642277433,0.015461776617223746,0.396188,0.0061257703544246415,reported_total
BEL,C,Обрабатывающая промышленность без машиностроения,False,True,1995,BA:2257,6,0.821,763.315,763.237,0.0010755716840360793,0.0010756816034862041,0.3181626,0.00034224165573733977,reported_total
BEL,C,Обрабатывающая промышленность без машиностроения,False,True,1995,BA:2257,7,210.105,763.315,763.237,0.2752533357788069,0.2752814656522155,0.5318994,0.14642204641153403,reported_total
BEL,C,Обрабатывающая промышленность без машиностроения,False,True,1995,BA:2257,8,171.371,763.315,763.237,0.22450888558458829,0.22453182956277018,0.9511319,0.21355938566251378,reported_total
BEL,C,Обрабатывающая промышленность без машиностроения,False,True,1995,BA:2257,9,85.895,763.315,763.237,0.11252890353261759,0.11254040357058162,1.17057,0.13173642020761575,reported_total
