country_iso3,sector_id,sector_name_ru,ai_intensity,is_proxy_mn,staffing_proxy_exact,labour_share_start,benchmark_core_ready_start,labour_share_end,benchmark_core_ready_end,n_years_with_labour_share,first_available_year,last_available_year,delta_tc_long,delta_tc_annualized,task_shift_direction,is_full_window,benchmark_core_pair,window
DNK,C,Обрабатывающая промышленность,low_medium,False,True,0.665803451538086,True,0.660946807861328,True,11,1995,2005,-0.004856643676757977,-0.0004856643676757977,task_displacing,True,True,1995-2005
ESP,C,Обрабатывающая промышленность,low_medium,False,True,0.684782485961914,True,0.631915817260742,True,11,1995,2005,-0.05286666870117207,-0.005286666870117207,task_displacing,True,True,1995-2005
EST,C,Обрабатывающая промышленность,low_medium,False,True,0.65968147277832,False,0.62602970123291,True,11,1995,2005,-0.03365177154540999,-0.0033651771545409994,task_displacing,True,False,1995-2005
FIN,C,Обрабатывающая промышленность,low_medium,False,True,0.547333602905274,True,0.507994079589844,True,11,1995,2005,-0.03933952331543,-0.003933952331543001,task_displacing,True,True,1995-2005
FRA,C,Обрабатывающая промышленность,low_medium,False,True,0.667966232299805,True,0.6491957855224609,True,11,1995,2005,-0.018770446777344074,-0.0018770446777344075,task_displacing,True,True,1995-2005
GBR,C,Обрабатывающая промышленность,low_medium,False,True,0.5981132075471698,True,0.705717256473086,True,11,1995,2005,0.10760404892591624,0.010760404892591623,task_creating,True,True,1995-2005
GRC,C,Обрабатывающая промышленность,low_medium,False,True,0.633044853210449,True,0.572232093811035,True,11,1995,2005,-0.060812759399413996,-0.0060812759399414,task_displacing,True,True,1995-2005
HRV,C,Обрабатывающая промышленность,low_medium,False,True,0.495484428405762,False,0.6542002105712891,False,11,1995,2005,0.15871578216552706,0.015871578216552707,task_creating,True,False,1995-2005
HUN,C,Обрабатывающая промышленность,low_medium,False,True,0.616800918579102,True,0.505852966308594,True,11,1995,2005,-0.11094795227050802,-0.011094795227050803,task_displacing,True,True,1995-2005
IRL,C,Обрабатывающая промышленность,low_medium,False,True,0.473956604003906,False,0.308937664031982,False,11,1995,2005,-0.16501893997192402,-0.0165018939971924,task_displacing,True,False,1995-2005
ITA,C,Обрабатывающая промышленность,low_medium,False,True,0.608995819091797,True,0.650133209228516,True,11,1995,2005,0.04113739013671902,0.004113739013671902,task_creating,True,True,1995-2005
JPN,C,Обрабатывающая промышленность,low_medium,False,True,0.5462113579927558,False,0.5153081258508911,False,11,1995,2005,-0.030903232141864634,-0.0030903232141864636,task_displacing,True,False,1995-2005
LTU,C,Обрабатывающая промышленность,low_medium,False,True,0.530106201171875,False,0.491701126098633,False,11,1995,2005,-0.038405075073242034,-0.0038405075073242034,task_displacing,True,False,1995-2005
LUX,C,Обрабатывающая промышленность,low_medium,False,True,0.6606040191650391,True,0.6858531188964839,True,11,1995,2005,0.025249099731444846,0.002524909973144485,task_creating,True,True,1995-2005
LVA,C,Обрабатывающая промышленность,low_medium,False,True,0.515390777587891,False,0.544455871582031,False,11,1995,2005,0.029065093994140034,0.0029065093994140034,task_creating,True,False,1995-2005
MLT,C,Обрабатывающая промышленность,low_medium,False,True,0.6133454132080081,False,0.634261474609375,False,11,1995,2005,0.020916061401366925,0.0020916061401366924,task_creating,True,False,1995-2005
NLD,C,Обрабатывающая промышленность,low_medium,False,True,0.5836013793945309,True,0.5346169662475591,True,11,1995,2005,-0.048984413146971884,-0.004898441314697188,task_displacing,True,True,1995-2005
POL,C,Обрабатывающая промышленность,low_medium,False,True,0.564491882324219,False,0.513191337585449,False,11,1995,2005,-0.05130054473876999,-0.0051300544738769995,task_displacing,True,False,1995-2005
PRT,C,Обрабатывающая промышленность,low_medium,False,True,0.6599240112304691,False,0.634408531188965,False,11,1995,2005,-0.025515480041504057,-0.0025515480041504056,task_displacing,True,False,1995-2005
ROU,C,Обрабатывающая промышленность,low_medium,False,True,0.534756546020508,False,0.523751602172852,False,11,1995,2005,-0.011004943847656046,-0.0011004943847656046,task_displacing,True,False,1995-2005
SVK,C,Обрабатывающая промышленность,low_medium,False,True,0.58903018951416,False,0.483870124816895,False,11,1995,2005,-0.10516006469726497,-0.010516006469726497,task_displacing,True,False,1995-2005
SVN,C,Обрабатывающая промышленность,low_medium,False,True,0.81391471862793,False,0.654837799072266,True,11,1995,2005,-0.15907691955566394,-0.015907691955566395,task_displacing,True,False,1995-2005
SWE,C,Обрабатывающая промышленность,low_medium,False,True,0.471307334899902,True,0.489979858398438,True,11,1995,2005,0.018672523498535987,0.0018672523498535986,task_creating,True,True,1995-2005
AUT,DE,Энергетика и ЖКХ,low,False,True,0.380014442302321,True,0.3143580832252718,True,11,1995,2005,-0.0656563590770492,-0.00656563590770492,task_displacing,True,True,1995-2005
BEL,DE,Энергетика и ЖКХ,low,False,True,0.3736806546167062,True,0.4117612538706446,True,11,1995,2005,0.03808059925393842,0.0038080599253938418,task_creating,True,True,1995-2005
BGR,DE,Энергетика и ЖКХ,low,False,True,0.5427872844672809,False,0.424823794192108,False,11,1995,2005,-0.11796349027517289,-0.011796349027517288,task_displacing,True,False,1995-2005
CYP,DE,Энергетика и ЖКХ,low,False,True,0.314728670342024,False,0.332817914230392,False,11,1995,2005,0.018089243888367967,0.0018089243888367967,task_creating,True,False,1995-2005
CZE,DE,Энергетика и ЖКХ,low,False,True,0.2155624156895299,True,0.2764815881457168,True,11,1995,2005,0.06091917245618686,0.006091917245618686,task_creating,True,True,1995-2005
DEU,DE,Энергетика и ЖКХ,low,False,True,0.4754387438072046,True,0.3823699852641687,True,11,1995,2005,-0.09306875854303587,-0.009306875854303587,task_displacing,True,True,1995-2005
DNK,DE,Энергетика и ЖКХ,low,False,True,0.2477017177599531,True,0.2198484558360915,True,11,1995,2005,-0.02785326192386159,-0.002785326192386159,task_displacing,True,True,1995-2005
ESP,DE,Энергетика и ЖКХ,low,False,True,0.2570924592091724,True,0.2821605942073573,True,11,1995,2005,0.025068134998184888,0.0025068134998184888,task_creating,True,True,1995-2005
EST,DE,Энергетика и ЖКХ,low,False,True,0.6429378703489141,False,0.2973865157472382,False,11,1995,2005,-0.34555135460167596,-0.0345551354601676,task_displacing,True,False,1995-2005
FIN,DE,Энергетика и ЖКХ,low,False,True,0.2894345238095238,True,0.2840845854201447,True,11,1995,2005,-0.005349938389379083,-0.0005349938389379083,task_displacing,True,True,1995-2005
FRA,DE,Энергетика и ЖКХ,low,False,True,0.3583282508907649,True,0.3411910966600521,True,11,1995,2005,-0.017137154230712826,-0.0017137154230712826,task_displacing,True,True,1995-2005
GBR,DE,Энергетика и ЖКХ,low,False,True,0.2703014416775884,True,0.3652708325380769,True,11,1995,2005,0.0949693908604885,0.00949693908604885,task_creating,True,True,1995-2005
GRC,DE,Энергетика и ЖКХ,low,False,True,0.3443834806860991,True,0.3205432581606823,True,11,1995,2005,-0.023840222525416788,-0.002384022252541679,task_displacing,True,True,1995-2005
HRV,DE,Энергетика и ЖКХ,low,False,True,0.4179342661020664,False,0.4590403300286489,False,11,1995,2005,0.0411060639265825,0.004110606392658251,task_creating,True,False,1995-2005
HUN,DE,Энергетика и ЖКХ,low,False,True,0.7011111989430059,True,0.4536169735953508,True,11,1995,2005,-0.24749422534765508,-0.02474942253476551,task_displacing,True,True,1995-2005
IRL,DE,Энергетика и ЖКХ,low,False,True,0.4008284105969931,False,0.3694357442113603,False,11,1995,2005,-0.03139266638563282,-0.0031392666385632816,task_displacing,True,False,1995-2005
ITA,DE,Энергетика и ЖКХ,low,False,True,0.4199238027504246,True,0.3365691797664689,True,11,1995,2005,-0.08335462298395574,-0.008335462298395574,task_displacing,True,True,1995-2005
LTU,DE,Энергетика и ЖКХ,low,False,True,0.4641316390754721,False,0.3560625104140387,False,11,1995,2005,-0.10806912866143342,-0.010806912866143343,task_displacing,True,False,1995-2005
LUX,DE,Энергетика и ЖКХ,low,False,True,0.5144635549614195,True,0.4464023444567032,True,11,1995,2005,-0.06806121050471631,-0.00680612105047163,task_displacing,True,True,1995-2005
LVA,DE,Энергетика и ЖКХ,low,False,True,0.347432013491658,False,0.4882588603660047,False,11,1995,2005,0.1408268468743467,0.014082684687434672,task_creating,True,False,1995-2005
NLD,DE,Энергетика и ЖКХ,low,False,True,0.357720891824938,True,0.3638727982030973,True,11,1995,2005,0.006151906378159322,0.0006151906378159322,task_creating,True,True,1995-2005
POL,DE,Энергетика и ЖКХ,low,False,True,0.4174406180652585,False,0.366863264974839,False,11,1995,2005,-0.0505773530904195,-0.00505773530904195,task_displacing,True,False,1995-2005
PRT,DE,Энергетика и ЖКХ,low,False,True,0.2372155178875223,False,0.2740971876647865,False,11,1995,2005,0.03688166977726423,0.003688166977726423,task_creating,True,False,1995-2005
ROU,DE,Энергетика и ЖКХ,low,False,True,0.5819911892226038,False,0.5405605801894585,False,11,1995,2005,-0.04143060903314533,-0.004143060903314533,task_displacing,True,False,1995-2005
SVK,DE,Энергетика и ЖКХ,low,False,True,0.297989012974643,False,0.2658369377996613,False,11,1995,2005,-0.0321520751749817,-0.0032152075174981696,task_displacing,True,False,1995-2005
SVN,DE,Энергетика и ЖКХ,low,False,True,0.5560708077296702,False,0.4146885224179554,True,11,1995,2005,-0.14138228531171482,-0.014138228531171481,task_displacing,True,False,1995-2005
SWE,DE,Энергетика и ЖКХ,low,False,True,0.1961932104174046,True,0.2183902372814432,True,11,1995,2005,0.0221970268640386,0.00221970268640386,task_creating,True,True,1995-2005
AUT,F,Строительство,low,False,True,0.68384391784668,True,0.5954936599731451,True,11,1995,2005,-0.0883502578735349,-0.00883502578735349,task_displacing,True,True,1995-2005
BEL,F,Строительство,low,False,True,0.787876586914063,True,0.7481374359130859,True,11,1995,2005,-0.039739151000977135,-0.003973915100097714,task_displacing,True,True,1995-2005
BGR,F,Строительство,low,False,True,0.823315353393555,False,0.349384117126465,False,11,1995,2005,-0.47393123626709,-0.047393123626709,task_displacing,True,False,1995-2005
CYP,F,Строительство,low,False,True,0.518053283691406,False,0.58383430480957,False,11,1995,2005,0.06578102111816397,0.006578102111816397,task_creating,True,False,1995-2005
CZE,F,Строительство,low,False,True,0.746244888305664,True,0.700484008789063,True,11,1995,2005,-0.045760879516601016,-0.004576087951660102,task_displacing,True,True,1995-2005
DEU,F,Строительство,low,False,True,0.8917678070068359,True,0.878698883056641,True,11,1995,2005,-0.013068923950194877,-0.0013068923950194876,task_displacing,True,True,1995-2005
DNK,F,Строительство,low,False,True,0.9161997222900392,True,0.8420468902587891,True,11,1995,2005,-0.07415283203125012,-0.0074152832031250115,task_displacing,True,True,1995-2005
ESP,F,Строительство,low,False,True,0.5888846206665039,True,0.5734876251220701,True,11,1995,2005,-0.015396995544433856,-0.0015396995544433856,task_displacing,True,True,1995-2005
EST,F,Строительство,low,False,True,0.6657171630859381,False,0.551923027038574,True,11,1995,2005,-0.1137941360473641,-0.01137941360473641,task_displacing,True,False,1995-2005
FIN,F,Строительство,low,False,True,0.939635009765625,True,0.8513026428222661,True,11,1995,2005,-0.08833236694335889,-0.008833236694335889,task_displacing,True,True,1995-2005
FRA,F,Строительство,low,False,True,0.985791397094727,True,0.936884078979492,True,11,1995,2005,-0.048907318115234966,-0.0048907318115234966,task_displacing,True,True,1995-2005
GBR,F,Строительство,low,False,True,0.4510805970149253,True,0.456425944134892,True,11,1995,2005,0.0053453471199667035,0.0005345347119966703,task_creating,True,True,1995-2005
GRC,F,Строительство,low,False,True,0.412095718383789,True,0.458759727478027,True,11,1995,2005,0.04666400909423801,0.004666400909423801,task_creating,True,True,1995-2005
HRV,F,Строительство,low,False,True,0.810793914794922,False,0.851107940673828,False,11,1995,2005,0.04031402587890598,0.004031402587890598,task_creating,True,False,1995-2005
HUN,F,Строительство,low,False,True,0.6629685211181641,True,0.6646836853027339,True,11,1995,2005,0.0017151641845698506,0.00017151641845698508,task_creating,True,True,1995-2005
IRL,F,Строительство,low,False,True,0.83151481628418,False,0.810385894775391,False,11,1995,2005,-0.021128921508788978,-0.002112892150878898,task_displacing,True,False,1995-2005
ITA,F,Строительство,low,False,True,0.644908981323242,True,0.667467880249023,True,11,1995,2005,0.022558898925781,0.0022558898925781,task_creating,True,True,1995-2005
