class_id,start_year,end_year,techint_start_median,techint_end_median,techint_delta_median,positive_dA_share,p_hat_disc,q_hat_disc,q_pvalue_disc,r2_disc,fit_is_structurally_clean,anchor_retained
hardware,1995,2017,0.010087778653664222,0.025321661408040225,0.015233882754376003,0.633306645316253,0.033432930244100705,-0.0630728216976719,0.6089670154333273,0.0015219453093267,False,True
hybrid,1995,2017,0.02024964918066037,0.04033472192635808,0.020085072745697707,0.7224264705882353,0.04568883437651332,-0.09859668922048964,0.677780686778923,0.0009202466188409364,False,True
software,1995,2017,0.06580062248938233,0.17519790428089382,0.1093972817915115,0.7140575079872205,0.19524151433879022,-0.6754551864449342,0.27477692991892233,0.008879515042815367,False,True
