year,sector_id,sector_name_ru,okved,ai_intensity,is_proxy_mn,staffing_proxy_exact,va_current_bn_rub,va_constant_2016_bn_rub,va_constant_2021_bn_rub,va_nominal_index_prev_year_pct,va_volume_index_prev_year_pct,va_real_growth_pct,va_deflator_index_prev_year_pct,va_deflator_growth_pct,va_volume_index_official_prev_year_pct,va_deflator_index_official_prev_year_pct,employment_thousand_persons,employment_persons,avg_monthly_wage_rub,annual_wage_rub,fot_proxy_bn_rub,labour_share_proxy,has_complete_labor_share_inputs,has_complete_real_va_inputs,source_layer
2011,B,Добыча полезных ископаемых,B,low,False,True,4943.532054158384,6858.2175602109255,14342.479447088102,,,,,,,,,,,,,,False,False,official_partial
2011,C,Обрабатывающая промышленность,C,low_medium,False,True,6895.6370937086385,9305.558515810048,13890.849139645561,,,,,,,,,,,,,,False,False,official_partial
2011,DE,Энергетика и ЖКХ,D+E,low,False,True,1885.4248731627758,2698.409054307115,3430.9767073463554,,,,,,,,,,,,,,False,False,official_partial
2011,F,Строительство,F,low,False,True,3957.0907732358305,4917.347502740164,5597.890234531498,,,,,,,,,,,,,,False,False,official_partial
2011,H,Транспорт и логистика,H,medium,False,False,3060.679039359774,5311.5245615765725,7056.613431750152,,,,,,,,,,,,,,False,False,official_partial
2011,J,ИТ и связь,J,high,False,False,1343.877266830548,1838.4927668260693,2413.1305000303496,,,,,,,,,,,,,,False,False,official_partial
2011,K,Финансы и страхование,K,high,False,True,1941.0799034572801,2578.541646670763,3015.4244400126304,,,,,,,,,,,,,,False,False,official_partial
2011,M,Профессиональные и научные услуги,M,high,True,False,2065.864359050298,3144.399529815079,3745.313178814644,,,,,,,,,,,,,,False,False,official_partial
2012,B,Добыча полезных ископаемых,B,low,False,True,5563.397143131903,7014.070823786597,14668.41285616574,112.53891108993828,102.27250392988229,2.2725039298822907,110.03828670029885,10.038286700298855,102.27250392988229,110.03828670029885,,,,,,,False,True,official_partial
2012,C,Обрабатывающая промышленность,C,low_medium,False,True,7774.197503505284,9788.02680298544,14611.052465478193,112.74081564701565,105.18473218298163,5.184732182981634,107.18363141419545,7.183631414195446,105.18473218298163,107.18363141419545,,,,,,,False,True,official_partial
2012,DE,Энергетика и ЖКХ,D+E,low,False,True,1964.2684558463943,2715.403003828792,3456.54204700045,104.18174088004682,100.74513299957282,0.7451329995728173,103.41118997826781,3.4111899782678137,203.51989682043305,214.3748287835915,,,,,,,False,True,official_partial
2012,F,Строительство,F,low,False,True,4518.179552132687,5118.703055855571,5827.1126524764,114.17932544514355,104.09480015400992,4.094800154009917,109.68782809152178,9.68782809152178,104.09480015400993,109.68782809152175,,,,,,,False,True,official_partial
2012,H,Транспорт и логистика,H,medium,False,False,3450.9740197900783,5519.558030341344,7332.995806136335,112.75190816845483,103.91664326038668,3.916643260386678,108.50226165016647,8.502261650166474,103.91664326038668,108.50226165016647,,,,,,,False,True,official_partial
2012,J,ИТ и связь,J,high,False,False,1591.625668908861,1966.1950108068513,2580.747248615304,118.43534437208037,106.94602917591266,6.946029175912656,110.74309657375801,10.74309657375801,106.94602917591263,110.74309657375802,,,,,,,False,True,official_partial
2012,K,Финансы и страхование,K,high,False,True,2458.040214653447,3018.7717817208636,3530.242849160332,126.63261364333343,117.07283400361194,17.072834003611945,108.16566859518113,8.165668595181131,117.07283400361194,108.16566859518113,,,,,,,False,True,official_partial
2012,M,Профессиональные и научные услуги,M,high,True,False,2315.602673984069,3407.325414457239,4058.485780281002,112.08880504858405,108.3617200088318,8.361720008831796,103.43948493937572,3.439484939375717,108.3617200088318,103.43948493937572,,,,,,,False,True,official_partial
2013,B,Добыча полезных ископаемых,B,low,False,True,5910.711715526167,7080.555258219006,14807.450678460893,106.24285060833789,100.94787229987674,0.9478722998767353,105.24525994241051,5.245259942410513,100.94787229987674,105.24525994241051,,,,,,,False,True,official_partial
2013,C,Обрабатывающая промышленность,C,low_medium,False,True,8070.252431039951,9925.58346748925,14816.389831476043,103.80817347901414,101.4053564346785,1.4053564346784952,102.3695168863032,2.3695168863032023,101.4053564346785,102.3695168863032,,,,,,,False,True,official_partial
2013,DE,Энергетика и ЖКХ,D+E,low,False,True,2124.4031597889643,2675.9231290092694,3406.6262880343234,108.15238382849093,98.55590476587886,-1.4440952341211357,109.73709194330736,9.737091943307362,197.27862362100146,218.20498387918062,,,,,,,False,True,official_partial
2013,F,Строительство,F,low,False,True,4470.242440170483,5053.51328128502,5752.900853888559,98.93901711056223,98.7264396105968,-1.273560389403201,100.21531972671545,0.21531972671544963,98.7264396105968,100.21531972671545,,,,,,,False,True,official_partial
2013,H,Транспорт и логистика,H,medium,False,False,4109.369829638388,5504.320744899754,7312.752346492307,119.0785501737379,99.72394011698346,-0.2760598830165435,119.40818827861202,19.408188278612016,99.72394011698344,119.40818827861206,,,,,,,False,True,official_partial
2013,J,ИТ и связь,J,high,False,False,1661.42943330319,2032.1461616460906,2667.3120349848587,104.38568978610299,103.3542527814764,3.3542527814764043,100.99796280933633,0.9979628093363289,103.3542527814764,100.99796280933629,,,,,,,False,True,official_partial
2013,K,Финансы и страхование,K,high,False,True,2865.5814515477155,3210.650171067734,3754.6312298924604,116.57992552215939,106.35617407412919,6.356174074129186,109.6127484248393,9.612748424839296,106.35617407412919,109.6127484248393,,,,,,,False,True,official_partial
2013,M,Профессиональные и научные услуги,M,high,True,False,2759.2693501932163,3659.1704034174495,4358.459860300845,119.15987924844656,107.39128079436252,7.391280794362515,110.95861634858333,10.958616348583334,107.39128079436252,110.95861634858335,,,,,,,False,True,official_partial
2014,B,Добыча полезных ископаемых,B,low,False,True,6231.450837450986,7211.820478906954,15081.963511176635,105.42640442236942,101.85388314759037,1.8538831475903663,103.50749639029699,3.5074963902969927,101.85388314759037,103.50749639029699,,,,,,,False,True,official_partial
2014,C,Обрабатывающая промышленность,C,low_medium,False,True,8958.509201525067,10001.213842805777,14929.28688457734,111.00655497551335,100.7619741002053,0.7619741002052933,110.1671101293828,10.167110129382806,100.7619741002053,110.1671101293828,,,,,,,False,True,official_partial
2014,DE,Энергетика и ЖКХ,D+E,low,False,True,2207.614197783095,2626.7763016437098,3344.1535779229644,103.91691368047091,98.16614137186716,-1.8338586281328446,105.8582034785487,5.8582034785487025,196.37918935810532,221.07592260247242,,,,,,,False,True,official_partial
2014,F,Строительство,F,low,False,True,4676.711598711447,4918.485441901798,5599.185660270048,104.6187463276173,97.32804027876458,-2.6719597212354245,107.49085877818034,7.490858778180339,97.32804027876458,107.49085877818034,,,,,,,False,True,official_partial
2014,H,Транспорт и логистика,H,medium,False,False,4280.613302835932,5531.611682591836,7349.00965741131,104.16714679614545,100.49580936425934,0.49580936425934397,103.65322440319764,3.6532244031976404,100.49580936425934,103.65322440319761,,,,,,,False,True,official_partial
2014,J,ИТ и связь,J,high,False,False,1729.5549947943464,2023.4726305782676,2655.927512434434,104.10041859892367,99.57318369950333,-0.4268163004966681,104.54664070306603,4.546640703066032,99.57318369950335,104.54664070306603,,,,,,,False,True,official_partial
2014,K,Финансы и страхование,K,high,False,True,3086.5508087384364,3350.0163727623235,3917.610273199435,107.71115255060624,104.34074702222202,4.340747022222018,103.23019110421589,3.2301911042158906,104.34074702222202,103.23019110421588,,,,,,,False,True,official_partial
2014,M,Профессиональные и научные услуги,M,high,True,False,3053.7532556057004,3794.7453646593226,4519.944011485136,110.67253203794196,103.70507372696427,3.7050737269642724,106.71853175604666,6.718531756046659,103.70507372696429,106.71853175604664,,,,,,,False,True,official_partial
2015,B,Добыча полезных ископаемых,B,low,False,True,7275.803485675293,7283.832634585387,15232.561367498749,116.75938197165503,100.9985295098381,0.9985295098380931,115.60503161611051,15.605031616110509,100.99852950983812,115.6050316161105,,,,,,,False,True,official_partial
2015,C,Обрабатывающая промышленность,C,low_medium,False,True,10288.728416861702,9909.657551493983,14792.616460310295,114.84866717679078,99.0845482083392,-0.9154517916608,115.909765199015,15.909765199014998,99.0845482083392,115.909765199015,,,,,,,False,True,official_partial
2015,DE,Энергетика и ЖКХ,D+E,low,False,True,2468.319816398553,2549.716466355406,3232.816279112851,111.80938312850411,96.67068822600952,-3.329311773990483,115.6600673692333,15.660067369233303,186.65197976418676,236.98376518352825,,,,,,,False,True,official_partial
2015,F,Строительство,F,low,False,True,4722.258079075674,4821.044571470036,5488.259333275614,100.9738997028762,98.01888464278778,-1.981115357212218,103.01474054806626,3.014740548066257,98.01888464278778,103.01474054806626,,,,,,,False,True,official_partial
2015,H,Транспорт и логистика,H,medium,False,False,4986.095976320284,5493.959714182151,7298.987223563663,116.48087840630139,99.31933095506004,-0.680669044939961,117.2791613538019,17.279161353801896,99.31933095506005,117.2791613538019,,,,,,,False,True,official_partial
2015,J,ИТ и связь,J,high,False,False,1875.6344769561192,2020.8141020576395,2652.4380365038846,108.4460732732666,99.86861554337561,-0.1313844566243887,108.58874200190107,8.588742001901068,99.86861554337563,108.58874200190105,,,,,,,False,True,official_partial
2015,K,Финансы и страхование,K,high,False,True,2663.184685574079,3134.0761948317872,3665.083310544736,86.28352003907561,93.55405604324022,-6.445943956759777,92.22851866432792,-7.771481335672078,93.55405604324022,92.22851866432792,,,,,,,False,True,official_partial
2015,M,Профессиональные и научные услуги,M,high,True,False,3323.731392448768,3633.82846468928,4328.274924768524,108.84086284140591,95.75948095309185,-4.2405190469081475,113.66066498911165,13.660664989111652,95.75948095309185,113.66066498911165,,,,,,,False,True,official_partial
2016,B,Добыча полезных ископаемых,B,low,False,True,7423.112777647571,7423.112777647571,15523.835677728615,102.02464638114957,101.91218208942423,1.9121820894242347,100.1103541200076,0.11035412000759948,101.91218208942423,100.1103541200076,,,,,,,False,True,official_partial
2016,C,Обрабатывающая промышленность,C,low_medium,False,True,10017.32265653998,10017.32265653998,14953.333275884246,97.36210589564276,101.08646645443127,1.0864664544312745,96.3156684673834,-3.6843315326165964,101.08646645443129,96.3156684673834,,,,,,,False,True,official_partial
2016,DE,Энергетика и ЖКХ,D+E,low,False,True,2637.5287017635987,2637.5287017635987,3351.253344361693,106.8552253334794,103.6635878758116,3.6635878758116007,103.07884139751305,3.0788413975130453,211.55663327720868,194.9193498334247,,,,,,,False,True,official_partial
2016,F,Строительство,F,low,False,True,4899.595599635166,4899.595599635166,5577.681533604751,103.75535427310241,101.62933627766031,1.6293362776603146,102.09193336620208,2.0919333662020847,101.62933627766031,102.09193336620208,,,,,,,False,True,official_partial
2016,H,Транспорт и логистика,H,medium,False,False,5624.665267662731,5624.665267662731,7472.635778437639,112.80699959196751,102.37907739190688,2.3790773919068755,110.1855989189496,10.185598918949594,102.37907739190688,110.1855989189496,,,,,,,False,True,official_partial
2016,J,ИТ и связь,J,high,False,False,1953.4463046142205,1953.4463046142205,2564.0138176742216,104.14856031993922,96.66630407147181,-3.3336959285281864,107.74029411834685,7.740294118346853,96.6663040714718,107.74029411834687,,,,,,,False,True,official_partial
2016,K,Финансы и страхование,K,high,False,True,3398.3219949232434,3398.3219949232434,3974.1003259554677,127.60369242626135,108.43137765850139,8.43137765850139,117.68151911538199,17.681519115381988,108.43137765850139,117.68151911538199,,,,,,,False,True,official_partial
