country_iso3,sector_id,sector_name_ru,rti_staffing_base,rti_base_year,rti_base_source,rti_n_occ_available,rti_weight_coverage,rti_sector_total_employment,rti_classified_employment,rti_total_source,is_proxy_mn,staffing_proxy_exact,rti_proxy_source,rti_year_priority,rti_year_distance,rti_base_year_exact
DEU,M,Профессиональные и научные услуги,0.12367554837253417,1995,BA:2242,9,0.9742878035624754,2209.924,2153.102,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
DNK,C,Обрабатывающая промышленность,0.28220714779673234,1995,BA:2487,8,0.9821769108056567,519.663,510.401,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
DNK,DE,Энергетика и ЖКХ,0.04019576817105182,1995,BA:2487,5,0.9700074515648287,16.104,15.621,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
DNK,F,Строительство,0.3472406460928864,1995,BA:2487,7,0.9865268085262816,163.213,161.014,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
DNK,H,Транспорт и логистика,0.2998841385669272,1995,BA:2487,8,0.9902577794729984,188.766,186.927,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
DNK,J,ИТ и связь,-0.15536898120287554,1995,BA:2487,8,0.9876857703439529,184.502,182.23000000000002,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
DNK,K,Финансы и страхование,-0.15557606569547255,1995,BA:2487,5,0.9845016628559552,76.976,75.783,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
DNK,M,Профессиональные и научные услуги,-0.15536898120287554,1995,BA:2487,8,0.9876857703439529,184.502,182.23000000000002,reported_total,True,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ESP,B,Добыча полезных ископаемых,0.40265179448881677,1995,BA:2244,8,0.9999999999999999,67.735,67.735,sum_digits,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ESP,C,Обрабатывающая промышленность,0.35293513605837984,1995,BA:2244,9,1.0,2415.286,2415.286,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ESP,DE,Энергетика и ЖКХ,0.19174183505170284,1995,BA:2244,7,0.9934529321818535,92.866,92.25800000000001,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ESP,F,Строительство,0.3830597123329775,1995,BA:2244,8,0.9999999999999999,1197.967,1197.967,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ESP,H,Транспорт и логистика,0.4025146392825263,1995,BA:2244,8,1.0,750.578,750.578,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ESP,J,ИТ и связь,0.04831703411638705,1995,BA:2244,8,0.9999985247691263,677.86,677.859,reported_total,False,False,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
ESP,K,Финансы и страхование,-0.081645910777668,1995,BA:2244,6,0.9946638174556789,328.512,326.75899999999996,reported_total,False,True,Lewandowski RTI x ILOSTAT base-year staffing matrix,1,0,True
