origin_year,horizon_years,n_sectors,spearman,kendall_tau,top_bottom_spread_pp,ols_slope_hc3,ols_pvalue_hc3,target_mean,target_std,top_sectors,bottom_sectors
2018,1,10,0.5757575757575757,0.4666666666666667,8.419304113201278,32.58093038187218,0.006579357355626366,3.9812738791713733,4.732849637628459,"K, J, B","C_mach, F, G"
2018,2,10,0.29696969696969694,0.24444444444444444,5.917443727843539,32.21762289729008,0.30354492874360894,-0.34758569512179777,6.40217934316583,"K, J, B","C_mach, F, G"
2018,3,10,0.2121212121212121,0.15555555555555556,5.981720417162903,31.354142465185046,0.25876274403292443,1.1240156661193468,5.865527151564503,"K, J, B","C_mach, F, G"
2019,1,10,0.5030303030303029,0.4222222222222222,8.59813936300803,23.499133933112677,0.26235828799784777,-1.3471113025944081,7.263054302174981,"K, J, M","F, C_mach, DE"
2019,2,10,0.3939393939393939,0.3333333333333333,7.587863541738556,21.395019770543634,0.2514562621098011,0.9294221493722217,6.42928506372753,"K, J, M","F, C_mach, DE"
2019,3,10,0.5878787878787878,0.4666666666666667,6.267816313397883,18.766049699957023,0.09911506527797435,-1.790588721231698,4.950665877251993,"K, J, M","F, C_mach, DE"
2020,1,10,0.16363636363636364,0.1111111111111111,5.479162392315029,12.662068228287337,0.25068582349716384,10.035555957238742,4.720480188768218,"M, K, J","H, F, DE"
2020,2,10,0.1515151515151515,0.1111111111111111,0.7907234927328486,8.812762533920857,0.31547434618868986,0.8081999397446251,5.327414529984586,"M, K, J","H, F, DE"
2020,3,10,0.2121212121212121,0.2,1.895955100842988,9.756026766950932,0.20567737790807084,1.8653233510519243,4.37757559701147,"M, K, J","H, F, DE"
2021,1,10,0.18787878787878787,0.15555555555555556,-0.6864060080869372,-0.43290060775043004,0.9783520283603395,-1.4071331318516314,6.7346350239112835,"K, J, M","F, H, DE"
2021,2,10,0.16363636363636364,0.15555555555555556,0.5041441296290641,1.4861485405114534,0.9111359949353321,0.4088032748282755,5.183050470456782,"K, J, M","F, H, DE"
2021,3,10,0.22424242424242422,0.2,2.453166704398437,6.107707860387293,0.6164162140190736,2.0767165564834915,4.52628316617487,"K, J, M","F, H, DE"
2022,1,10,0.1515151515151515,0.1111111111111111,-2.7952725582546503,-4.391471348938271,0.876772122273346,8.669151683097109,8.245125242639789,"K, C, M","DE, C_mach, H"
2022,2,10,0.2606060606060606,0.2,-0.6018190145682443,4.734916293274324,0.8570034669316156,8.641468911739492,7.4733313843222735,"K, C, M","DE, C_mach, H"
2022,3,10,0.18787878787878787,0.15555555555555556,-1.3700160219596302,0.13727437951843768,0.994605329397717,4.489683129174267,5.550199331014809,"K, C, M","DE, C_mach, H"
