year,sector_id,sector_name_ru,okved,ai_intensity,is_proxy_mn,staffing_proxy_exact,va_current_bn_rub,va_constant_2016_bn_rub,va_constant_2021_bn_rub,va_nominal_index_prev_year_pct,va_volume_index_prev_year_pct,va_real_growth_pct,va_deflator_index_prev_year_pct,va_deflator_growth_pct,va_volume_index_official_prev_year_pct,va_deflator_index_official_prev_year_pct,employment_thousand_persons,employment_persons,avg_monthly_wage_rub,annual_wage_rub,fot_proxy_bn_rub,labour_share_proxy,has_complete_labor_share_inputs,has_complete_real_va_inputs,source_layer
2024,B,Добыча полезных ископаемых,B,low,False,True,22455.017039232367,,15774.605224934121,120.05634358965472,99.46516048116376,-0.534839518836236,120.70190507800007,20.701905078000067,99.46516048116375,120.70190507800007,1234.1,1234100.0,156081.79999999996,1872981.5999999996,2311.4465925599993,0.10293675522586096,True,True,official_complete
2024,C,Обрабатывающая промышленность,C,low_medium,False,True,26836.134537186135,,20265.120013398388,118.84259662935838,108.67001486318692,8.670014863186921,109.36098313686486,9.36098313686486,108.67001486318692,109.36098313686486,10571.2,10571200.0,87974.7,1055696.4,11159.97778368,0.415856380814305,True,True,official_complete
2024,DE,Энергетика и ЖКХ,D+E,low,False,True,4868.794419474021,,3563.8976423751683,113.46990156459485,102.49882532549668,2.498825325496682,110.70361167970293,10.70361167970293,206.52430851805192,217.51464467896727,2190.5,2190500.0,79455.20054782013,953462.4065738416,2088.5594016,0.4289684923327751,True,True,official_complete
2024,F,Строительство,F,low,False,True,9345.761480454275,,6966.830090239249,115.46674104316563,106.07060764551908,6.070607645519075,108.85837613851312,8.858376138513123,106.07060764551906,108.85837613851315,6816.0,6816000.0,85606.3,1027275.6000000001,7001.910489600001,0.7492070607883365,True,True,official_complete
2024,H,Транспорт и логистика,H,medium,False,False,12483.750846118983,,8169.0976228986565,115.08487079006935,105.027877084791,5.027877084791001,109.5755469732661,9.5755469732661,105.027877084791,109.5755469732661,5917.1,5917100.0,90120.3,1081443.6,6399.009925560001,0.5125871226074141,True,True,official_complete
2024,J,ИТ и связь,J,high,False,False,6642.288495110908,,4320.836905391288,125.61120078405412,112.13295730256365,12.132957302563653,112.01987694404838,12.019876944048377,112.13295730256365,112.01987694404838,1890.6,1890600.0,166037.1,1992445.2000000002,3766.91689512,0.5671113047698334,True,True,official_complete
2024,K,Финансы и страхование,K,high,False,True,9210.333696751528,,8713.851492415186,112.7045603933708,124.30587924724212,24.305879247242117,90.66711974998664,-9.33288025001336,124.30587924724212,90.66711974998664,1276.3,1276300.0,205974.0,2471688.0,3154.6153944,0.34250826281273916,True,True,official_complete
2024,M,Профессиональные и научные услуги,M,high,True,False,9027.867797603647,,5505.617062554517,118.07857625947871,106.69732644466534,6.697326444665336,110.66685566926162,10.666855669261622,106.69732644466534,110.66685566926162,2977.7,2977700.0,127206.70000000001,1526480.4000000001,4545.40068708,0.5034855171767723,True,True,official_complete
