scenario,class_id,A_2035,gross_return_cf_2035,net_return_cf_2035,gross_payback_year,net_payback_year_cf,cum_capex_2035_bn_rub,cum_net_gain_cf_2035_bn_rub,start_year,end_year,techint_start_median,techint_end_median,techint_delta_median,positive_dA_share,p_hat_disc,q_hat_disc,q_pvalue_disc,r2_disc,fit_is_structurally_clean,anchor_retained
Base,software,0.8760270905468405,38.9815573259618,37.699742666294014,2025.0,2025.0,387.4928183121682,14608.379535405762,1995,2017,0.0658006224893823,0.1751979042808938,0.1093972817915115,0.7140575079872205,0.1952415143387898,-0.6754551864449344,0.274776929918922,0.0088795150428154,False,True
Base,hybrid,0.330372209277719,4.070322045851306,3.9424017427611715,2026.0,2026.0,979.0034240962856,3859.6248053263507,1995,2017,0.0131693054811541,0.0317376137707097,0.0185683082895556,0.7085427135678392,0.1237035641994898,-0.4348011017976606,0.4089448252377932,0.0086332998821988,False,True
Base,hardware,0.11326220800471039,1.4058379844493687,1.360638428942991,2031.0,2032.0,875.3666772149113,1191.0575404347433,1995,2017,0.0100877786536642,0.0253216614080402,0.015233882754376,0.633306645316253,0.0334329302441007,-0.0630728216976718,0.6089670154333274,0.001521945309327,False,True
Fast,software,0.975177328345722,61.47660274871587,59.38416070946597,2025.0,2025.0,323.5124364809324,19211.51451949459,1995,2017,0.0658006224893823,0.1751979042808938,0.1093972817915115,0.7140575079872205,0.1952415143387898,-0.6754551864449344,0.274776929918922,0.0088795150428154,False,True
Fast,hybrid,0.528215187663118,5.510786380223333,5.336824095470438,2025.0,2025.0,1173.9587869219363,6265.211541134235,1995,2017,0.0131693054811541,0.0317376137707097,0.0185683082895556,0.7085427135678392,0.1237035641994898,-0.4348011017976606,0.4089448252377932,0.0086332998821988,False,True
Fast,hardware,0.18955918439086913,1.826391732951296,1.7680642543604865,2029.0,2029.0,1098.7808486540996,1942.7151418811932,1995,2017,0.0100877786536642,0.0253216614080402,0.015233882754376,0.633306645316253,0.0334329302441007,-0.0630728216976718,0.6089670154333274,0.001521945309327,False,True
Friction,software,0.7033726225962497,32.39115657531554,31.375488408395366,2025.0,2025.0,311.12261572105876,9761.624023145725,1995,2017,0.0658006224893823,0.1751979042808938,0.1093972817915115,0.7140575079872205,0.1952415143387898,-0.6754551864449344,0.274776929918922,0.0088795150428154,False,True
Friction,hybrid,0.1864829658273457,3.872141474731525,3.7522326469199903,2026.0,2026.0,552.611439320949,2073.52668368151,1995,2017,0.0131693054811541,0.0317376137707097,0.0185683082895556,0.7085427135678392,0.1237035641994898,-0.4348011017976606,0.4089448252377932,0.0086332998821988,False,True
Friction,hardware,0.0586892788686925,0.6928658810684236,0.6706722034242489,,,907.1806021879794,608.4208133731491,1995,2017,0.0100877786536642,0.0253216614080402,0.015233882754376,0.633306645316253,0.0334329302441007,-0.0630728216976718,0.6089670154333274,0.001521945309327,False,True
