check_type,variant,spearman,kendall_tau,top3_overlap
bootstrap_sector_weights,bootstrap_0296,0.9878787878787878,0.9555555555555556,1.0
bootstrap_sector_weights,bootstrap_0297,0.9515151515151514,0.8666666666666667,1.0
bootstrap_sector_weights,bootstrap_0298,0.9393939393939393,0.8222222222222222,1.0
bootstrap_sector_weights,bootstrap_0299,0.9393939393939393,0.8222222222222222,1.0
bootstrap_sector_weights,bootstrap_0300,0.9636363636363635,0.8666666666666667,1.0
bootstrap_sector_weights,bootstrap_0301,0.9999999999999999,1.0,1.0
bootstrap_sector_weights,bootstrap_0302,0.9757575757575757,0.9111111111111111,1.0
bootstrap_sector_weights,bootstrap_0303,0.9999999999999999,1.0,1.0
bootstrap_sector_weights,bootstrap_0304,0.9878787878787878,0.9555555555555556,1.0
bootstrap_sector_weights,bootstrap_0305,0.9878787878787878,0.9555555555555556,1.0
bootstrap_sector_weights,bootstrap_0306,0.9757575757575757,0.9111111111111111,1.0
bootstrap_sector_weights,bootstrap_0307,0.9999999999999999,1.0,1.0
bootstrap_sector_weights,bootstrap_0308,0.9272727272727272,0.7777777777777778,1.0
bootstrap_sector_weights,bootstrap_0309,0.9393939393939393,0.8222222222222222,1.0
bootstrap_sector_weights,bootstrap_0310,0.9878787878787878,0.9555555555555556,1.0
bootstrap_sector_weights,bootstrap_0311,0.9757575757575757,0.9111111111111111,1.0
bootstrap_sector_weights,bootstrap_0312,0.9393939393939393,0.8222222222222222,1.0
bootstrap_sector_weights,bootstrap_0313,0.9393939393939393,0.8222222222222222,1.0
bootstrap_sector_weights,bootstrap_0314,0.9878787878787878,0.9555555555555556,1.0
bootstrap_sector_weights,bootstrap_0315,0.9757575757575757,0.9111111111111111,1.0
bootstrap_sector_weights,bootstrap_0316,0.9757575757575757,0.9111111111111111,1.0
bootstrap_sector_weights,bootstrap_0317,0.9878787878787878,0.9555555555555556,1.0
bootstrap_sector_weights,bootstrap_0318,0.9999999999999999,1.0,1.0
bootstrap_sector_weights,bootstrap_0319,0.9878787878787878,0.9555555555555556,1.0
