record_type,table_year,scenario,throttle_scenario,sector_id,sector_name_ru,direct_va_gain_2035_bn_rub,io_indirect_va_gain_2035_bn_rub,io_total_va_gain_2035_bn_rub,io_multiplier_va_ratio,direct_employment_delta_2035_thousand,io_indirect_employment_support_2035_thousand,io_net_employment_delta_2035_thousand,backward_linkage_multiplier,own_sector_output_multiplier,direct_output_impulse_2035_bn_rub,io_total_output_gain_2035_bn_rub,import_content_base_2035_bn_rub,import_content_sanction_base_2035_bn_rub,import_content_sanction_relief_2035_bn_rub,import_content_sanction_saving_base_2035_bn_rub,import_content_sanction_saving_relief_2035_bn_rub,accounting_total_va_gain_2035_pct,io_total_va_gain_2035_pct_of_cf
aggregate,2016,Base,BaseThrottle,ALL,Все восемь проектных секторов,7570.081876335834,5261.159114377245,12831.240990713079,1.6949936870331206,-978.3917453210261,1351.6892025583709,373.2974572373448,1.7954714305034039,1.2532103235100658,14752.48215500243,26487.660238318153,1634.7399631149724,1480.08288856044,1520.4206882023666,154.65707455453207,114.31927491260578,4.267056396796143,7.232633654783761
aggregate,2016,Base,NoThrottle,ALL,Все восемь проектных секторов,8519.82364285072,5967.947160018746,14487.770802869467,1.7004777810191714,-1076.5491054054123,1531.1849168231065,454.6358114176942,1.7990613575456675,1.2553907896974423,16659.928008111787,29972.232698886684,1861.8365660045292,1684.9071252614306,1731.2145017477883,176.92944074309833,130.6220642567406,4.8024008945591445,8.166376016744424
aggregate,2016,Base,SanctionBase,ALL,Все восемь проектных секторов,6705.551743483762,4677.074641459173,11382.626384942934,1.6974928865479566,-887.3331623799963,1205.842345169708,318.50918278971176,1.797598715230512,1.2530532619195385,13097.002039921448,23543.154040334186,1454.3588380693373,1317.4632796308017,1353.143929150723,136.89555843853526,101.21490891861401,3.779743459647955,6.416087635728577
aggregate,2016,Base,SanctionRelief,ALL,Все восемь проектных секторов,6932.358667406634,4828.455012822491,11760.813680229125,1.696509693810865,-910.6485716028357,1243.536565157644,332.8879935548083,1.7967911271378931,1.2529902096902252,13529.047451373337,24308.872419255138,1502.297152705623,1360.6792361058326,1397.6094184624073,141.6179165997904,104.68773424321543,3.907588567715803,6.629261884554413
aggregate,2016,Base,StressThrottle,ALL,Все восемь проектных секторов,6944.262222589212,4794.376708405982,11738.638930995194,1.6904083622894022,-912.5886778021716,1233.1041480179545,320.5154702157829,1.7924278210502682,1.251389061420336,13494.20159480692,24187.382361392818,1484.8259418124812,1344.8704913405734,1381.270212832625,139.95545047190785,103.55572897985623,3.9142982892375056,6.616762560622161
aggregate,2016,Fast,BaseThrottle,ALL,Все восемь проектных секторов,9485.70984842241,7255.171408690624,16740.881257113033,1.7648527653307093,-1361.7027855062895,1896.9157223158124,535.212936809523,1.8466246871321468,1.2690723726929278,19376.42856221854,35780.99133144521,2233.7266489401436,2021.2975985363946,2076.202410780493,212.42905040374924,157.52423815965057,5.346845588736837,9.436395223078536
aggregate,2016,Fast,NoThrottle,ALL,Все восемь проектных секторов,10652.82853846307,8215.962322328645,18868.790860791716,1.771247025394628,-1491.7794985634619,2144.7800178112752,653.0005192478134,1.8505954260895965,1.2716280232253412,21843.18744936386,40422.90278501045,2540.665249485057,2298.0950459794503,2360.9877278140666,242.5702035056065,179.67752167099016,6.004719750933996,10.635841997170239
aggregate,2016,Fast,SanctionBase,ALL,Все восемь проектных секторов,8409.79421593064,6449.142354888307,14858.936570818947,1.7668608992443264,-1235.3906077851998,1691.150686826405,455.76007904120524,1.8481207113241678,1.2686767630245261,17209.932407557786,31806.032522896545,1985.4126614389295,1797.4202351101471,1845.9749846788434,187.9924263287824,139.43767676008656,4.740380195490768,8.375592414964835
aggregate,2016,Fast,SanctionRelief,ALL,Все восемь проектных секторов,8689.205500304417,6655.0855218051,15344.291022109517,1.7659026503138804,-1267.1656993449183,1743.5141447960266,476.3484454511083,1.8474400092816985,1.2686611824504217,17768.30470435459,32825.87700793289,2050.6067300437353,1856.191654657518,1906.430325892701,194.41507538621732,144.17640415103452,4.897877000386797,8.649173975894445
aggregate,2016,Fast,StressThrottle,ALL,Все восемь проектных секторов,8717.20636331393,6620.891753340534,15338.098116654463,1.759519905506004,-1274.4803449542424,1733.2238886520274,458.74354369778507,1.8432693940235498,1.2669495477004766,17749.991372063712,32718.01584030712,2031.19233544009,1838.6505190091436,1888.288085117107,192.54181643094626,142.904250322983,4.913660351686344,8.645683197687758
