year,sector_id,sector_name_ru,CAP,CAPIT_QI,CAPNIT_QI,CAP_QI,EMP,GO,GO_QI,H_EMP,II,LAB,LAB_AVG,LAB_QI,LP_I,TFPva_I,VA,VAConH,VAConK,VAConTFP,VA_Q,VA_QI,russia_klems_codes,fit_quality,fit_note,labour_share_klems,capital_share_klems,capital_labour_comp_ratio,ict_to_nonict_capital_services_index,va_per_hour_current_rub,hours_per_person,VA_growth_pct,LAB_growth_pct,CAP_growth_pct,EMP_growth_pct,H_EMP_growth_pct,LP_I_growth_pct,CAP_QI_growth_pct,LAB_QI_growth_pct,CAPIT_QI_growth_pct,CAPNIT_QI_growth_pct,TFPva_I_growth_pct,labour_share_klems_growth_pct,capital_labour_comp_ratio_growth_pct
1995,B,Добыча полезных ископаемых,70968.066807,100.0,100.0,100.0,1047.397691,165269.565519,100.0,2010.994309,84093.995482,10207.50323,5.075849,100.0,100.0,100.0,81175.570036,,0.0,,-2.73712,100.0,C,exact_old_nace,Russia KLEMS NACE 1.0 C is mining and quarrying; maps to OKVED2 B.,0.12574600000311847,0.8742540000092004,6.9525392456819235,1.0,40.36588749789446,1919.9911612178646,,,,,,,,,,,,,
1996,B,Добыча полезных ископаемых,95492.082545,109.299281,102.415228,102.53949,981.204635,226619.991551,97.0,1883.904227,115419.570765,15708.338241,8.338183,94.154423,103.543718,95.681275,111200.420786,-0.804146,2.172982,-4.414757,-3.045921,97.0,C,exact_old_nace,Russia KLEMS NACE 1.0 C is mining and quarrying; maps to OKVED2 B.,0.14126150000124513,0.8587384999987548,6.079069668601746,1.067217084162523,59.02657852362258,1919.99116168056,36.987545312813296,53.89011286161502,34.55640944073322,-6.319763406849043,-6.319763384273203,3.5437179999999957,2.53949,-5.845577000000002,9.299280999999993,2.4152280000000026,-4.318725000000001,12.338762264995996,-12.563317461640667
1997,B,Добыча полезных ископаемых,103762.907029,116.086078,105.508245,105.739346,950.698606,251052.417608,97.194,1825.33292,126502.503576,20787.007002,11.388063,91.558247,107.079963,93.815909,124549.914031,-0.430819,2.599436,-1.968817,0.1998,97.194,C,exact_old_nace,Russia KLEMS NACE 1.0 C is mining and quarrying; maps to OKVED2 B.,0.1668969999997446,0.8331030000002554,4.991719443737935,1.100255984733705,68.23408084427689,1919.9911606896792,12.004894541442845,32.33103771437944,8.661267262762262,-3.109038411747822,-3.1090384617519007,3.4152192603321474,3.120608460213714,-2.757359577255336,6.2093702153448005,3.020075295833946,-1.9495622314815497,18.147549047881782,-17.886786698299407
1998,B,Добыча полезных ископаемых,94983.963682,114.823904,105.565528,105.767178,953.408015,244377.267343,94.958538,1830.534962,128227.791135,21165.512526,11.562474,91.7715,104.319821,91.601026,116149.476208,0.040611,0.021723,-2.389197,-2.326863,94.958538,C,exact_old_nace,Russia KLEMS NACE 1.0 C is mining and quarrying; maps to OKVED2 B.,0.18222649999813076,0.8177735000018693,4.48767605156362,1.087702644749714,63.45111053279079,1919.9911613916945,-6.744635585143133,1.8208755303906088,-8.460579602445438,0.28499137191329016,0.28499140858095906,-2.577645642257087,0.02632132791893227,0.23291511904985907,-1.0872742207726271,0.05429243942025597,-2.3608820972997213,9.185006320311096,-10.097590576862913
1999,B,Добыча полезных ископаемых,217176.480749,123.461163,107.937191,108.255397,960.180432,498875.527075,98.75688,1843.537943,240811.819611,40887.226715,22.178674,92.723491,107.727386,93.280689,258063.707464,0.175784,1.929224,1.817063,3.922071,98.75688,C,exact_old_nace,Russia KLEMS NACE 1.0 C is mining and quarrying; maps to OKVED2 B.,0.1584384999998645,0.8415615000001355,5.311597244362041,1.1438241245318308,139.9828565741649,1919.9911616195068,122.1824117414534,93.17853354495233,128.64541795296356,0.7103377455873305,0.7103377575369274,3.2664597842820164,2.3525436218029716,1.037349285998368,7.522178482975117,2.2466263797780606,1.8336726927054237,-13.054083790508109,18.35964056521742
2000,B,Добыча полезных ископаемых,382441.224628,164.47326,115.475585,116.694374,983.598999,926910.180989,105.07732,1888.501383,487464.249904,57004.706457,30.185155,95.646008,111.892898,92.659142,439445.931085,0.447107,6.42498,-0.668549,6.203539,105.07732,C,exact_old_nace,Russia KLEMS NACE 1.0 C is mining and quarrying; maps to OKVED2 B.,0.1297194999991338,0.8702805000008662,6.708941215520239,1.4243119876812056,232.6955834085296,1919.9911599340699,70.28583189920377,39.419351804770606,76.09698034936085,2.4389756570252663,2.438975567100665,3.86671593423793,7.795433053559431,3.151862563069363,33.218621956444714,6.984056125751881,-0.6663190491656756,-18.12627612654454,26.307415771054554
2001,B,Добыча полезных ископаемых,392471.243949,183.124669,124.373347,125.884321,1071.252742,1082389.471172,111.381959,2056.795795,612426.503436,77491.723787,37.675944,104.941827,108.901665,90.821412,469962.967737,1.36628,6.463866,-2.003255,5.826891,111.381959,C,exact_old_nace,Russia KLEMS NACE 1.0 C is mining and quarrying; maps to OKVED2 B.,0.1648889999996038,0.8351109999982683,5.064685940240253,1.4723787163177333,228.4927696174136,1919.9911602186594,6.944434910718811,35.93916819035607,2.6226302697247794,8.911532351000261,8.911532367143614,-2.6733001409973367,7.875227129630091,9.718982730570435,11.340085920349608,7.705318834279984,-1.983322919178343,27.111960808286216,-24.50841678976441
2002,B,Добыча полезных ископаемых,463067.860918,204.82265,130.705232,132.657907,1024.691101,1250922.766658,118.955932,1967.397857,675564.18514,112290.7206,57.075756,100.602567,121.59193,93.626187,575358.581518,-0.760228,4.297498,3.041504,6.578774,118.955932,C,exact_old_nace,Russia KLEMS NACE 1.0 C is mining and quarrying; maps to OKVED2 B.,0.1951665000002907,0.8048334999997093,4.123830165517702,1.5670577747033112,292.44648176822733,1919.9911613168192,22.426365696111894,44.90672695403104,17.98771707671243,-4.346466447597663,-4.346466392887582,11.652957739443215,5.380801950705205,-4.134919434936091,11.848748242652118,5.091030476167857,3.0882309999760826,18.362352856018084,-18.57678414464372
2003,B,Добыча полезных ископаемых,554473.058841,209.512237,137.572244,139.462786,989.0,1609675.5,129.899878,1898.871258,839875.0,215327.441159,113.397599,97.207472,139.585783,100.672421,769800.5,-0.815145,3.814627,7.256177,10.255659,131.803173,C,exact_old_nace,Russia KLEMS NACE 1.0 C is mining and quarrying; maps to OKVED2 B.,0.27971849999967524,0.7202815000003248,2.5750227460863724,1.5229251984869854,405.3989951961241,1919.9911607684528,33.79491063972544,91.75889157042243,19.739050285587844,-3.4831083206606217,-3.4831083482266934,14.798558588551058,5.129644477204054,-3.374759811049355,2.289584184171023,5.253815700353925,7.525922208067715,43.323008815169906,-37.55749769672907
2004,B,Добыча полезных ископаемых,990627.447016,206.756879,145.082928,146.762146,994.0,2304007.7,140.291868,1908.471214,892360.8,421019.452984,220.605608,97.984107,157.355165,109.745976,1411646.9,0.229964,3.627284,8.62965,12.486898,149.332995,C,exact_old_nace,Russia KLEMS NACE 1.0 C is mining and quarrying; maps to OKVED2 B.,0.2982469999997875,0.7017530000002126,2.3529255952305057,1.4250944742444127,739.6741903386131,1919.9911609657947,83.37827787848929,95.52521997097196,78.66106048266472,0.5055611729019249,0.5055611832321505,12.730080111382126,5.233912364263249,0.7989457847437986,-1.3151298651830068,5.45944718325595,9.012950031270229,6.623980895126258,-8.625055883231292
