sector_id,sector_name_ru,okved,ai_intensity,va_current_bn_rub,va_share_2024,employment_share_2024,va_real_growth_pct,labour_share_proxy,profit_margin_proxy_2024,va_real_growth_median_2019_2024_pct,va_real_growth_volatility_2019_2024_pct,deflator_volatility_2019_2024_pct,min_real_growth_2019_2024_pct,va_real_cagr_2019_2024_pct,labour_productivity_cagr_2019_2024_pct,wage_cagr_2019_2024_pct,shock_recovery_2022_2024_pct,A_2030,A_2035,peak_speed,margin_2030,margin_2035,net_return_cf_2035,gross_return_on_new_capital_2035,net_return_on_new_capital_cf_2035,ict_digital_share_proxy_pct,fixed_asset_renewal_pct,import_dependency_score,market_concentration_score,sanction_wedge_base,managed_obsolescence_pressure_score,adaptation_managed_2030,lp_gain_vs_cf_2030_pct,cumulative_capex_2030_bn_rub,cumulative_net_value_after_capex_2030_bn_rub,incremental_profit_pool_2030_bn_rub,clean_energy_readiness,ai_service_leverage,transition_risk_score_2030,strategy_capacity_index_2030,backward_linkage_multiplier,io_total_output_gain_2035_bn_rub
B,Добыча полезных ископаемых,B,low,22455.017039232367,0.18253942405994225,0.026622687422338805,-0.534839518836236,0.1029367552258609,0.8970632447741391,0.16200908802348835,3.2810627560072403,28.032688010569974,-6.5196028829124515,-0.9584124730837251,-2.195977902831092,11.804083575055003,-1.1688150516529827,0.0428584819509576,0.1132622080047104,0.0175089226302915,0.8570149876133488,0.8618470063998526,1.270592972993548,1.7718898910443497,1.7111757658134084,37.7,7.4,0.1779699411434977,0.73,0.1050345894058295,0.2326668639776319,0.0398669573738462,0.3594470835099672,232.67096111919727,72.91965405653264,99.53238495780896,0.35,0.25,27.87048922710037,37.19933478686923,1.4877133600687011,229.22504993812203
C,Обрабатывающая промышленность без машиностроения,C excl. 26-30,low_medium,21196.4700389022,0.17230855030058348,0.1801230994380513,6.378421723068612,0.415856380814305,0.584143619185695,3.7964143931604752,2.5182426203761996,8.130674359598402,-0.6108790572991722,3.0830571834234544,2.7147858314411355,14.939085087707692,5.622802250097791,0.106415670647682,0.330372209277719,0.0569331449622796,0.5654089834140897,0.5842009520049836,7.9045594868225475,10.754683212391711,10.39356983508199,58.25,5.8,0.2169538256726457,0.5671461629103345,0.0957663049121096,0.3838449951842509,0.0941615338714955,1.326988848477395,93.655082718105,794.1439734078108,317.80325447859104,0.45,0.4,14.444031102688934,39.75329227097196,2.221834390038543,5870.07822415189
C_mach,Машиностроение (ОКВЭД 26–30),C 26-30,medium,5639.664498283935,0.045845483332719185,0.04792467082289031,20.01323638479371,0.415856380814305,0.584143619185695,7.541471333447134,11.613091902090101,9.8516419287366,-9.488700290018896,8.39172026862498,4.3103980565463385,14.939085087707692,21.63085138844938,0.106415670647682,0.330372209277719,0.0569331449622796,0.5654089834140897,0.5842009520049836,6.147990711973092,8.364753609637997,8.083887649508213,62.67,5.8,0.2950312499999999,0.5595936881625287,0.1090649938162528,0.4263055950246018,0.0928059919090613,1.3077612550582265,31.576794497355237,239.9152775367267,101.5282453580512,0.45,0.55,7.756803805400368,39.770865910999674,2.5573857470933494,2538.0135702373573
DE,Энергетика и ЖКХ,D+E,low,4868.794419474021,0.039578991529789144,0.04725467692944912,2.498825325496682,0.4289684923327751,0.5710315076672249,-0.07917878738464171,3.001146882865777,3.2341571497433077,-2.4395524596528304,1.2204416102053361,2.402267241186151,11.767318924569704,1.2848580115257358,0.106415670647682,0.330372209277719,0.0569331449622796,0.5412660160221551,0.5592555674279156,1.0144998085244752,1.380295015541546,1.3339484161204025,48.65,4.05,0.0737147211322869,0.7717133152617656,0.0904399813299882,0.339104121871759,0.095589872883169,1.3472529752479367,162.89260387813158,5.7624516453228125,57.49823773342496,0.55,0.3,13.086538381238428,46.57353923729901,2.392846773537618,912.8612490275292
F,Строительство,F,low,9345.761480454275,0.07597277325878332,0.14703851995029682,6.070607645519075,0.7492070607883365,0.25079293921166346,5.896913468175555,4.705595806102928,5.537576587344408,-3.351328692850231,4.8384633495751395,3.6553933072032585,14.963051415694029,7.779889430768172,0.0428584819509576,0.1132622080047104,0.0175089226302915,0.2379310185455893,0.2392725203490828,3.634793957259025,5.068857459303068,4.89517214842825,31.45,9.5,0.19875,0.3783631895228452,0.0736113189522845,0.2012681291138886,0.0402706680072784,0.3630936055916356,9.493110327938265,30.48424288622613,13.509920457348016,0.35,0.25,8.158584496405284,36.4513533400364,2.073180417292121,293.4770426001343
G,Оптовая и розничная торговля,G,medium,22144.667050602595,0.18001655319849913,0.2908346852133094,5.765034448538103,0.5638758165578386,0.4361241834421614,2.510511578441111,6.398861809112326,17.48736077109352,-12.60781848289396,0.1568447806588491,0.28858707593810706,13.971525715231813,5.275897117787687,0.106415670647682,0.330372209277719,0.0569331449622796,0.4210370071110756,0.4350306196027976,15.874930916953025,21.598907986593208,20.873674666819145,44.8,6.6,0.1716287135650224,0.4825,0.079143168441704,0.1181713375487537,0.1026430860067067,1.447377729659283,39.54727237919134,643.3257898573306,237.43944214177827,0.25,0.65,7.273732489532235,32.33436011808719,1.579032058403627,1829.2438324729749
H,Транспорт и логистика,H,medium,12483.750846118985,0.10148185082990599,0.12764695222973904,5.027877084791001,0.5125871226074141,0.4874128773925859,2.4328521206663183,5.926014981092651,5.840707365052338,-10.880919273293271,0.8476363382003971,-0.8531188917152432,11.989699428507429,4.104107568488158,0.0428584819509576,0.1132622080047104,0.0175089226302915,0.4664242280074673,0.4690540193936005,1.3542580890419873,1.8885640553993015,1.823852068979769,43.599999999999994,3.9,0.0858632286995515,0.6773540938632875,0.083190790552248,0.2237603329123315,0.0399814734941185,0.3604814385463672,66.23953672689191,31.21687654700412,32.263327364982615,0.3,0.45,17.014935579018967,38.859833261447065,1.8800565728350604,289.94130720982406
J,ИТ и связь,J,high,6642.288495110908,0.05399592947175848,0.040785068341847294,12.132957302563652,0.5671113047698334,0.4328886952301666,8.549600565241121,4.9117167686188,4.904187566421033,0.9430537885472888,7.6030349056016355,2.580787221383196,16.94852067244781,11.296799765539255,0.3843066910924466,0.8760270905468406,0.1150746392771966,0.4511641144974344,0.5015662676533251,19.55541621773405,49.80446813518048,47.94600616250449,50.05,6.7,0.3323276345291479,0.3830403507625984,0.0981230092915064,0.636877541716147,0.3108798008860394,7.078664028019488,57.44198159942063,1227.9814365193645,495.8992930378877,0.25,0.9,2.6422055022585416,46.59583641594871,1.7511253924539574,4686.7732235931635
K,Финансы и страхование,K,high,9210.333696751528,0.07487186518128676,0.027533049150904317,24.305879247242117,0.3425082628127391,0.6574917371872608,12.445181217659886,6.647856922786665,11.36278515683962,2.1936305046741182,12.25234855127555,13.945453496276583,14.718564563242364,16.17731927108135,0.3843066910924466,0.8760270905468406,0.1150746392771966,0.6683484647756834,0.7430135380842121,43.03049426383169,109.59167815924926,105.50224654785444,49.4,13.5,0.3308632286995515,0.7405168359515334,0.1336070647610726,0.363044063861752,0.3424506122214071,7.824976078260204,59.06791234449219,3100.522453305634,1245.6100041742377,0.3,0.75,7.982278671665727,42.636759183321104,1.354994481595814,4870.054488891547
M,Профессиональные и научные услуги,M,high,9027.867797603649,0.0733885788367322,0.06423659050117354,6.697326444665336,0.5034855171767723,0.49651448282322774,5.526553461302008,2.6972222811988473,10.06947805337763,-0.3699693020254955,3.9024961088982124,3.0656360748658074,11.087897147435744,6.539796067578751,0.3843066910924466,0.8760270905468406,0.1150746392771966,0.5181811345882104,0.5760701467431358,66.30320611764297,168.8634943679604,162.5623251233808,34.05,6.1,0.1347274383408071,0.2813543877984258,0.0523863776811878,0.169494937001566,0.3647652795736482,8.355614789593746,31.0311193162115,2116.676618394338,809.1231683290307,0.35,0.9,2.655172930982003,50.315775032325675,1.6630285736059138,4927.153086699564
