scenario,throttle_scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,va_ai_bn_rub,va_share_ai,margin_ai,adaptation_managed,lp_gain_vs_cf_pct,delta_k_need_managed_bn_rub,cumulative_delta_k_need_managed_bn_rub,incremental_profit_pool_vs_cf_bn_rub,cumulative_net_value_after_capex_bn_rub,transition_risk_score,strategy_capacity_index,adaptive_potential,credit_potential,bank_profitability,financial_stability,strategic_convergence,base_forward_index_no_gate,financial_risk_penalty,forward_resilience_index,forward_rank
Base,BaseThrottle,2025,B,Добыча полезных ископаемых,hardware,low,22738.108075062348,0.1790034448460806,0.8528878764398679,0.0046509997040335,0.0418677594371308,27.14409733240659,27.14409733240659,11.13497758808444,-16.009119744322152,0.0,37.02325499852017,0.03263931340912553,0.5175352473775561,0.053475357158695246,0.5099683294634704,0.06419653719626285,0.1366402430332508,1.0,0.1366402430332508,4
Base,BaseThrottle,2026,B,Добыча полезных ископаемых,hardware,low,23025.385954743135,0.1753892566642841,0.8548191736702082,0.0099729061153739,0.0897964479294133,31.059633372606243,58.20373070501283,23.87152927007628,-23.19722384685211,2.5516435935597492,37.04986453057687,0.03290581416555952,0.6172066734601634,0.06569326893601701,0.4905211341581855,0.05983696404626552,0.1442350627885962,1.0,0.1442350627885962,5
Base,BaseThrottle,2027,B,Добыча полезных ископаемых,hardware,low,23317.001372835413,0.1716834841070624,0.8551710649787762,0.0160539389031832,0.1445898806447187,35.49003577246029,93.69376647747312,38.75192729971968,-19.935332319592717,6.059265923810423,37.08026969451592,0.03976665037629072,0.6955219606587778,0.07313221426953284,0.4570306120463176,0.09364672803306359,0.17043223356709938,1.0,0.17043223356709938,7
Base,BaseThrottle,2028,B,Добыча полезных ископаемых,hardware,low,23613.118800836637,0.1678739562200062,0.8556501743036535,0.0229911994970429,0.2071350242872194,40.48714013391358,134.1809066113867,56.08405826899616,-4.338414184510128,11.119935037895612,37.11495599748521,0.05816706024873831,0.7630113633044775,0.08657646164304432,0.3797342678714591,0.08909516193376825,0.18436898667555554,1.0,0.18436898667555554,7
Base,BaseThrottle,2029,B,Добыча полезных ископаемых,hardware,low,23913.917216512073,0.1639543915974714,0.8561924483188416,0.0308906841546017,0.2784029807042953,46.102858324129706,180.2837649355164,76.21573779104438,25.77446528240455,18.38598232092049,37.15445342077302,0.07472726560247053,0.775857351697325,0.13256299747073258,0.19827298007171776,0.06905017969190567,0.17372738238131302,0.9332676343532416,0.16213414317738903,8
Base,BaseThrottle,2030,B,Добыча полезных ископаемых,hardware,low,24219.59053988039,0.159931094470062,0.8568087302977366,0.0398669573738462,0.3594470835099672,52.38719618368087,232.67096111919727,99.53238495780896,72.91965405653264,27.87048922710037,37.19933478686923,0.0904536104268958,0.7861262424938946,0.17825928596548277,0.19827298007171776,0.08698185098803703,0.1986648655442579,0.9332676343532416,0.1854074890955944,7
Base,BaseThrottle,2025,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,21950.369259824412,0.1728020510845121,0.5562243881022855,0.0088484650144472,0.1239552713222735,8.800873231178105,8.800873231178105,25.51900629006741,16.718133058889304,0.0,39.07078772011558,0.07001487074060805,0.24818045883109788,0.06445295653691316,0.5424628485280847,0.06793851280709517,0.1387667205085295,1.0,0.1387667205085295,3
Base,BaseThrottle,2026,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,22734.90445965213,0.1731765974020733,0.5581648685463394,0.0197984404698257,0.277562660419961,10.891080623582903,19.69195385476101,58.43354331293267,64.26059574823907,0.7844965390339624,39.158387523758606,0.12362133248605135,0.32142871254311955,0.12231569904066439,0.5369995844863065,0.10912111687933611,0.20134951496375725,1.0,0.20134951496375725,3
Base,BaseThrottle,2027,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,23552.264126932827,0.1734157278316402,0.5592565832867809,0.033287783670653,0.4671165752600403,13.416790289445675,33.10874414420668,101.36592765889692,152.2097331176903,2.350275082797284,39.26630226936523,0.17340141426288275,0.38520666739181114,0.18651376010491472,0.5242365116609286,0.20361374454209422,0.27302739801937614,1.0,0.27302739801937614,3
Base,BaseThrottle,2028,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,24404.934339250445,0.1735032510264716,0.5606478616549296,0.0498122464934461,0.6998087479882065,16.43558541275452,49.5443295569612,156.83831490883313,292.6124626137689,4.883295907192929,39.39849797194758,0.22054115681625056,0.4478108879402361,0.25835753083886537,0.5002674519798773,0.27675011144665956,0.33046788038161445,1.0,0.33046788038161445,3
