horizon_years,n_origins,median_spearman,mean_spearman,share_positive_spearman,median_kendall,mean_top_bottom_spread_pp,share_positive_top_bottom_spread,median_ols_slope,share_positive_ols_slope,decision
1,5,0.18787878787878787,0.3163636363636363,1.0,0.15555555555555556,3.80298546043655,0.6,12.662068228287337,0.6,tentative
2,5,0.2606060606060606,0.2533333333333333,1.0,0.2,2.8396711754751527,0.8,8.812762533920857,1.0,tentative
3,5,0.2121212121212121,0.2848484848484848,1.0,0.2,3.045728502768516,0.8,9.756026766950932,1.0,tentative
