scenario,throttle_scenario,sector_id,sector_name_ru,class_id,ai_intensity,managed_obsolescence_pressure_score,adaptation_2030,adaptation_managed_2030,va_cf_2030_bn_rub,va_ai_2030_bn_rub,incremental_va_2030_bn_rub,va_share_cf_2030,va_share_ai_2030,delta_va_share_pp_2030,profit_pool_ai_2030_bn_rub,incremental_profit_pool_2030_bn_rub,labour_income_ai_2030_bn_rub,incremental_labour_income_2030_bn_rub,employment_ai_2030_thousand,employment_delta_2030_thousand,labour_productivity_ai_2030_mrub_per_person,lp_gain_vs_cf_2030_pct,cumulative_capex_2030_bn_rub,cumulative_incremental_profit_pool_2030_bn_rub,cumulative_net_value_after_capex_2030_bn_rub,adaptation_2035,adaptation_managed_2035,va_cf_2035_bn_rub,va_ai_2035_bn_rub,incremental_va_2035_bn_rub,va_share_cf_2035,va_share_ai_2035,delta_va_share_pp_2035,profit_pool_ai_2035_bn_rub,incremental_profit_pool_2035_bn_rub,labour_income_ai_2035_bn_rub,incremental_labour_income_2035_bn_rub,employment_ai_2035_thousand,employment_delta_2035_thousand,labour_productivity_ai_2035_mrub_per_person,lp_gain_vs_cf_2035_pct,cumulative_capex_2035_bn_rub,cumulative_incremental_profit_pool_2035_bn_rub,cumulative_net_value_after_capex_2035_bn_rub
Base,BaseThrottle,K,Финансы и страхование,software,high,0.363044063861752,0.3843066910924466,0.34245061222140716,14615.642049120894,15333.430030561114,717.7879814402204,0.09801240336328407,0.10125242384794943,0.32400204846653596,10149.274618356909,1245.6100041742375,4865.814685805897,-513.7059217634342,1131.303551507232,-31.421697432011342,13553.771673511,7.824976078260204,59.06791234449219,3159.590365650126,3100.522453305634,0.8760270905468406,0.780616160045307,21475.17322323202,23955.161126254334,2479.987903022313,0.12104991302795814,0.12950298816167874,0.8453075133720594,17449.852052227834,4367.447651191445,6830.165894902666,-1074.114776516005,1010.7086873702599,-65.13055574062287,23701.35077059912,18.736379952279215,134.645304375858,18390.651684131997,18256.006379756138
Base,BaseThrottle,M,Профессиональные и научные услуги,software,high,0.169494937001566,0.3843066910924466,0.36476527957364824,11467.130126835487,12067.933756225746,600.8036293902587,0.07689850227813075,0.07968911986548068,0.2790617587349928,6224.954071008145,809.1231683290307,5908.68047100567,-92.06808189301137,2916.255745805153,-86.35373339756688,4138.160301470369,8.355614789593746,31.0311193162115,2147.7077377105497,2116.676618394338,0.8760270905468406,0.83148244358967,13996.282486381964,15724.174414878738,1727.8919284967742,0.07889336957051495,0.08500579738828984,0.6112427817774893,8974.87166988128,2364.542986365129,7419.845689109576,95.59184664999702,2828.9489972956444,-194.57748379868917,5558.309616013009,20.07257163098941,70.73543552863454,10891.013603632106,10820.27816810347
Base,BaseThrottle,J,ИТ и связь,software,high,0.636877541716147,0.3843066910924466,0.3108798008860394,9529.894590354917,9953.824298215352,423.92970786043406,0.06390741299357604,0.06572885745343159,0.1821444459855548,4414.857076608919,495.8992930378877,5433.7439380315645,-135.18213343938623,2315.230544018272,-58.302672611614526,4299.279967574925,7.078664028019488,57.44198159942063,1285.4234181187849,1227.9814365193643,0.8760270905468406,0.7086504965755746,12874.490933344725,14217.292083836039,1342.8011504913138,0.07257012511892869,0.07685950425130943,0.4289379132380741,6885.518569358019,1591.169721862062,7375.205666156537,-148.18166487711187,2710.8406585161633,-158.12289281755875,5244.606332420209,16.871296012467553,130.93899529238413,6991.594992185979,6860.655996893595
Base,BaseThrottle,DE,Энергетика и ЖКХ,hybrid,low,0.339104121871759,0.106415670647682,0.09558987288316903,4845.709842632297,4882.907954898983,37.19811226668571,0.032495299630444854,0.032243683564248365,-0.02516160661964889,2638.6843540420728,57.49823773342496,2068.3130078025183,-118.63436750531764,2021.8353063786433,-11.62933632042882,2415.086896293682,1.3472529752479367,162.89260387813158,168.65505552345485,5.762451645323267,0.330372209277719,0.29676303590233283,4826.556326233736,4942.514848531745,115.95852229800857,0.02720603077059625,0.026719521465327346,-0.048650930526890346,2750.7637738668705,179.78024810988154,2037.5348392769588,-140.7682442911705,1877.5066290287382,-33.7298762889377,2632.488627264438,4.242197214498189,505.7073745876063,788.8167812192519,283.1094066316456
Base,BaseThrottle,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,0.4263055950246018,0.106415670647682,0.09280599190906136,8438.909238224442,8501.79691085772,62.88767263327827,0.05659127210581543,0.05614057275975659,-0.045069934605884016,4796.874351223591,101.52824535805121,3453.0575315771853,-253.30426775797696,2482.020800449514,-13.859335209097935,3425.352804987765,1.3077612550582263,31.576794497355245,271.49207203408196,239.9152775367267,0.330372209277719,0.2881203529009999,11807.20731348199,12082.51978860035,275.31247511836045,0.06655412757527279,0.06531880161020744,-0.12353259650653564,7015.186936703177,445.7449267442598,4660.732176228896,-524.983290170725,2703.0521139838547,-47.13449815495778,4469.954436354799,4.116142973931969,98.03157088149223,1658.7601133877301,1560.728542506238
Base,BaseThrottle,G,Оптовая и розничная торговля,hybrid,medium,0.1181713375487537,0.106415670647682,0.10264308600670673,23946.79430668994,24144.241690999133,197.4473843091946,0.16058705152717268,0.15943353759151793,-0.1153513935654743,10159.387368539397,237.43944214177827,13274.304295325612,-644.9771778553695,13193.760691118703,-81.5056208426322,1829.9742019158855,1.4473777296592827,39.54727237919134,682.873062236522,643.3257898573306,0.330372209277719,0.31866005151993354,25560.101524005528,26220.076753267647,659.9752292621197,0.1440755813377786,0.14174725319026338,-0.2328328147515213,11386.743129819175,796.3487326136637,13638.402428454585,-1218.6278319314515,12857.460242520314,-248.1946675899144,2039.288962104385,4.56225056162709,122.77627596857843,3370.1255169156975,3247.349240947119
Base,BaseThrottle,F,Строительство,hardware,low,0.2012681291138886,0.0428584819509576,0.04027066800727842,11703.570540661733,11722.438156961938,18.867616300205555,0.078484070201417,0.07740768206685786,-0.10763881345591392,2788.5509791296095,13.509920457348016,8750.560695760974,-134.26046832704014,7226.91253984,-14.566289714543018,1622.0534138664789,0.3630936055916356,9.493110327938265,39.977353214164395,30.48424288622613,0.1132622080047104,0.10642338619338555,14116.860200670524,14177.082854300275,60.22265362975122,0.07957303448758068,0.0766421308281412,-0.29309036594394877,3390.3357330543404,43.07802812320597,10519.383249172362,-197.49822341621802,7575.844419125314,-40.419795732855164,1871.3534848353079,0.9624121603492908,25.08746431581398,186.4483977986274,161.36093348281344
Base,BaseThrottle,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,0.3838449951842509,0.106415670647682,0.0941615338714955,26030.871749288784,26227.700712172176,196.8289628833918,0.17456286170765023,0.1731914036046142,-0.13714581030360162,14802.272023718044,317.80325447859104,10769.486121270547,-663.296296236138,8346.68580832913,-47.289664541249294,3142.2892048961085,1.326988848477395,93.65508271810499,887.7990561259157,794.1439734078108,0.330372209277719,0.2923286935539541,30891.78627713644,31622.744608545978,730.9583314095362,0.1741288884263933,0.17095438845502176,-0.3174499971371536,18372.92592537927,1183.6777986020825,12635.947107949982,-931.7533708721548,8284.509735348665,-146.5898086000616,3817.093059063813,4.1775029153994,290.7563932957447,4755.957575791366,4465.201182495622
Base,BaseThrottle,H,Транспорт и логистика,hardware,medium,0.2237603329123315,0.0428584819509576,0.039981473494118576,14360.809871194944,14383.79489937068,22.98502817573535,0.09630350038598896,0.09498162477608134,-0.13218756099076245,6707.39760112085,32.263327364982615,7270.369668364336,-370.8436963608592,6492.036748270461,-12.991040455845905,2215.605896439612,0.36048143854636727,66.23953672689191,97.45641327389603,31.21687654700412,0.1132622080047104,0.10565913119385449,16138.895115971301,16207.248322490246,68.35320651894472,0.09097071440812551,0.08761732290502139,-0.3353391503104125,7597.464171223313,95.84741905040664,8002.176984348101,-585.1340505303151,7002.261678783458,-37.09053183763808,2314.573357290758,0.9554679066319016,175.05137478928472,430.7170103045755,255.6656355152908
Base,BaseThrottle,B,Добыча полезных ископаемых,hardware,low,0.2326668639776319,0.0428584819509576,0.039866957373846226,24180.99886336644,24219.59053988039,38.591676513951825,0.16215762580652,0.15993109447006204,-0.22265313364579487,20751.556618805993,99.53238495780897,2398.6318642841693,-956.9123010604599,1323.861285118273,-2.6415479584629793,18294.658822745638,0.35944708350996724,232.67096111919727,305.5906151757299,72.91965405653264,0.1132622080047104,0.10535649918161893,25720.23563491788,25828.856111006593,108.62047608871217,0.14497821527685106,0.1396322917447396,-0.5345923532111468,22246.483494583117,279.85868671346907,2392.5387415486957,-1176.6019389177627,1401.3671060124166,-7.401634759790568,18431.18480531663,0.9527182320024696,614.8800796326282,1295.974391731328,681.0943120986999
