scenario,class_id,A_2030,A_2035,year_A50,peak_speed_year,peak_speed,margin_2035_avg,cumulative_delta_k_need_bn_rub
Base,hardware,0.04285848195095768,0.11326220800471042,,2035,0.017508922630291506,0.523391182047512,875.3666772149113
Base,hybrid,0.106415670647682,0.330372209277719,,2035,0.05693314496227969,0.5406720227601701,1131.2717263357004
Base,software,0.38430669109244664,0.8760270905468405,2032,2032,0.11507463927719659,0.6068833174935576,387.4928183121682
Fast,hardware,0.06841123318098974,0.18955918439086916,,2035,0.030395752367238887,0.526578595077851,1098.7808486540994
Fast,hybrid,0.1737561575926217,0.528215187663118,2035,2035,0.0824314234695902,0.5560335889349336,1356.5492733123756
Fast,software,0.5835531988576232,0.975177328345722,2030,2030,0.14347300732656415,0.6190028860183845,323.5124364809324
Friction,hardware,0.021655188096268804,0.05868927886869254,,2035,0.009405079553650043,0.5211131994474657,907.1806021879793
Friction,hybrid,0.05472047336081645,0.18648296582734572,,2035,0.036176992124506036,0.5294925236196582,638.5612977100088
Friction,software,0.21622987079180414,0.7033726225962497,2034,2034,0.10757619499423783,0.5855801857277169,311.12261572105876
